job_id,job_title,date,company_name,country,country_code,region,field,full_description,coordinates
HR97,OPERATER/OPERATERKA NA CNC PLAZMI,2025-10-03,"PIB EXTRA, D.O.O.",Croatia,HR,Zagreb,Other / Undefined,"Radno mjesto / Opis posla: Rad u proizvodnji i rad u ostalim odjelima prema potrebi Označavanje, sortiranje i pakiranje pozicija za proizvodni proces Praćenje tijeka obrade na CNC-u Redovito održavanje CNC plazme i prostora oko nje Suradnja s članovima tima radi postizanja proizvodnih ciljeva Dodatne dužnosti po potrebi Radno vrijeme: Puno radno vrijeme (40 sati tjedno) RAD U DVIJE SMJENE: 06:00 - 14:00 sati 14:00 - 22:00 sata Prednosti kod zapošljavanja: Iskustvo na CNC plazma rezačicama Razumijevanje tehničke dokumentacije Razumijevanje proizvodnog procesa u metalnoj industriji Dozvola za upravljanje vilčarom i kranskom dizalicom Pogodnosti: mogućnost stalnog zaposlenja sustav nagrađivanja i stimulacija mogućnost trajnog usavršavanja i razvoja poticajna i ugodna radna atmosfera osiguran topli obrok PLAĆA – ovisno o zalaganju i rezultatima osobnog rada i rada cijelog tima, mjesečna primanja se kreću od 900€ do 1100€ Ako za preuzimanje odnosno obavljanje određenih poslova nema kandidata odnosno radnika koji u pogledu posjedovanja stručne odnosno školske spreme ispunjavaju propisane uvjete, ugovor o radu može se sklopiti i s kandidatom koji ne ispunjava propisane uvjete, ali za kojeg je Poslodavac utvrdio da posjeduje potrebna znanja i iskustva dovoljna za preuzimanje i obavljanje poslova za koje je objavljen oglas za zapošljavanje. U tom slučaju smatrat će se da u odnosu na dotičnog radnika nisu propisani navedeni posebni uvjeti.","(None, None)"
HR98,VIŠI INFORMATIČKI REFERENT M/Ž,2025-12-09,OPĆA BOLNICA VARAŽDIN,Croatia,HR,Zagreb,"Cloud, DevOps & Systems Engineering","OPĆA BOLNICA VARAŽDIN Temeljem članka 24. Statuta Opće bolnice Varaždin, članka 24. Temeljnog kolektivnog ugovora za zaposlenike u javnim službama („Narodne novine“ broj 29/24.) i suglasnosti Ministarstva zdravstva, Ravnatelj Opće bolnice Varaždin raspisuje N A T J E Č A J za prijam u radni odnos (m/ž) viši informatički referent – dva (2) izvršitelja – na neodređeno vrijeme (koje je sukladno Uredbi o nazivima radnih mjesta, uvjetima za raspored i koeficijentima za obračun plaće u javnim službama („Narodne novine“ 22/24.) prevedeno u viši informatičar ). UVJETI: - VŠS, prvostupnik/prvostupnica ekonomske, informatičke ili elektrotehničke struke, bacc. Kandidati su uz molbu dužni priložiti dokaze o ispunjavanju uvjeta iz natječaja u preslici/originalu i to: - diploma ili potvrda o završenoj traženoj stručnoj spremi 
- dokaz o državljanstvu 
- životopis dostaviti u europskom formatu (Europass) 
- popunjen i potpisan obrazac privole za prikupljanje i obradu osobnih podataka. U slučaju da je kandidat stekao obrazovnu kvalifikaciju u inozemstvu, obvezan je uz molbu priložiti i rješenje ili potvrdu nadležnog državnog tijela o priznavanju inozemne obrazovne kvalifikacije. Ako za radno mjesto postoji potreba polaganja ispita radi stjecanja određenih znanja i vještina ili je to propisano posebnim propisima, radnika se može zaposliti na radno mjesto uz uvjet da ispit položi u roku od 1 godine od zasnivanja radnog odnosa, a u slučaju da radnik u navedenom roku ispit ne položi, može mu se otkazati ugovor o radu. Kandidati koji će obavljati poslove u zdravstvenoj djelatnosti ne mogu se primiti u radni odnos za obavljanje poslova osoba koja u sustavu zdravstva neposredno u vidu zanimanja pruža zdravstvenu zaštitu te koja sudjeluje u dijagnostičkim i terapijskim postupcima, a protiv koje je pokrenut kazneni postupak ili koja je pravomoćno osuđena za neko od kaznenih djela iz glave XVI. Kaznenog zakona („Narodne novine“, br. 125/11., 144/12., 56/15., 61/15. – ispravak, 101/17., 118/18., 126/19., 84/21., 114/22., 114/23. i 36/24.) – Kaznena djela protiv spolne slobode i glave XVII. istoga Zakona – Kaznena djela spolnog zlostavljanja i iskorištavanja djeteta. Poslodavac je dužan po službenoj dužnosti pribaviti dokaz da kandidat  nije osuđen za kaznena djela iz glave XVI. Kaznenog zakona („Narodne novine“, br. 125/11., 144/12., 56/15., 61/15. – ispravak, 101/17., 118/18., 126/19., 84/21., 114/22., 114/23. i 36/24.) – Kaznena djela protiv spolne slobode i glave XVII. istoga Zakona – Kaznena djela spolnog zlostavljanja i iskorištavanja djeteta. Prijavom na natječaj kandidat daje privolu Općoj bolnici Varaždin za prikupljanje i obradu osobnih podataka navedenih u prijavi na natječaj te dokumentaciji dostavljenoj uz prijavu, a u svrhu odabira kandidata za zapošljavanje, na dostavu obavijesti o rezultatima natječaja koja se dostavlja svim kandidatima, na objavu imena i prezimena odabranog kandidata na oglasnim pločama i na web stranici Opće bolnice Varaždin te da se s natječajnom dokumentacijom postupa sukladno općim aktima Opće bolnice Varaždin. Obrazac privole kao privitak natječaju nalazi se na web stranici Opće bolnice Varaždin PRIVOLA ili u urudžbenom zapisniku Opće bolnice Varaždin. Bez uredno popunjene, potpisane te priložene privole prijavi na natječaj, prijava će se smatrati neurednom i nepotpunom i ista će se odbaciti. Osobe koje prema posebnim propisima ostvaruju pravo prednosti, moraju se u molbi pozvati na to pravo, odnosno uz molbu priložiti svu propisanu dokumentaciju prema posebnom zakonu. Kandidati koji mogu ostvariti pravo prednosti kod prijama u javnu službu sukladno članku 102. Zakona o hrvatskim braniteljima iz Domovinskog rata i članova njihovih obitelji („Narodne novine“ broj 121/17., 98/19., 84/21. i 156/23.), članku 48.f Zakona o zaštiti vojnih i civilnih invalida rata („Narodne novine“ broj 33/92., 57/92., 77/92., 27/93., 58/93., 02/94., 76/94., 108/95., 108/96., 82/01., 103/03, 148/13. i 98/19.), članku 9. Zakona o profesionalnoj rehabilitaciji i zapošljavanju osoba s invaliditetom („Narodne novine“ broj 157/13.,152/14, 39/18. i 32/20.), dužni su u prijavi na javni natječaj pozvati na to pravo te imaju prednost u odnosu na ostale kandidate samo pod jednakim uvjetima. Kandidati koji se pozivaju na pravo prednosti prilikom zapošljavanja u skladu s člankom 102. Zakona o hrvatskim braniteljima iz Domovinskog rata i članova njihovih obitelji („Narodne novine“ broj 121/17., 98/19., 84/21. i 156/23.) uz prijavu na natječaj dužni su priložiti osim dokaza o ispunjavanju traženih uvjeta i sve potrebne dokaze dostupne na poveznici Ministarstva hrvatskih branitelja: https://branitelji.gov.hr/zaposljavanje-843/843 . Kandidati koji se pozivaju na pravo prednosti prilikom zapošljavanja sukladno članku 48.f Zakona o zaštiti civilnih i vojnih invalida rata („Narodne novine“ broj 33/92., 57/92., 77/92., 27/93., 58/93., 02/94., 76/94., 108/95., 108/96., 82/01., 103/03, 148/13. i 98/19.), uz molbu na natječaj dužni su, osim dokaza o ispunjavanju traženih uvjeta, priložiti i rješenje, odnosno potvrdu iz koje je vidljivo navedeno pravo. Kandidati koji se pozivaju na pravo prednosti prilikom zapošljavanja sukladno članku 9. Zakona o profesionalnoj rehabilitaciji i zapošljavanju osoba s invaliditetom („Narodne novine“ broj 157/13., 152/14, 39/18. i 32/20) , uz molbu na natječaj dužni su, osim dokaza o ispunjavanju traženih uvjeta, priložiti i rješenje o utvrđenom invaliditetu, odnosno drugi dokaz o invaliditetu. Kandidati će biti pozvani na provjeru znanja. Vrijeme i mjesto provjere znanja objavit će se na web- stranici Opće bolnice Varaždin; www.obv.hr i na oglasnoj ploči Opće bolnice Varaždin.  
Odluka o odabiru kandidata objavljuje se na web-stranici i oglasnoj ploči Opće bolnice Varaždin. Prijave s dokazima o ispunjavanju uvjeta podnose se u roku od 8 dana od dana objave ovog natječaja na oglasnoj ploči Hrvatskog zavoda za zapošljavanje, Područni ured Varaždin, na adresu: Opća bolnica Varaždin, 42 000 Varaždin, Ivana Meštrovića 1 u zatvorenoj kuverti s naznakom „za natječaj _______________________“  i „ne otvaraj“- obvezno je potrebno navesti za koji natječaj i koje se radno mjesto kandidati javljaju. Ukoliko se kandidat javlja na više radnih mjesta, potrebno je dostaviti svaku prijavu odvojeno. Nepotpune i nepravodobne prijave neće se razmatrati.","(None, None)"
HR99,OPERATER/OPERATERKA U STROJNOJ OBRADI,2025-11-06,LTH Alucast d.o.o.,Croatia,HR,Zagreb,Other / Undefined,poznavanje osnovnih pravila pokretanja i rada CNC strojeva samostalno posluživanje CNC strojeva s različitim odljevcima i pakiranje odljevaka nadzor i razumijevanje procesa poznavanje i provjeravanje pravilnosti rada steznih naprava te postavljanje odljevaka na stezne naprave pregledavanje odljevaka i prepoznavanje grešaka u skladu s kontrolnom dokumentacijom,"(None, None)"
HR100,CNC OPERATER / CNC OPERATERKA NA PILANSKOM POSTROJENJU - BRENTIST / BRENTISTICA	,2025-10-16,"PILANA, PROIZVODNJA I TRGOVINA VLADO FRIŠČIĆ",Croatia,HR,Zagreb,"Cloud, DevOps & Systems Engineering","Operater/operaterka na modernom cnc pilanskom postrojenju. 
 
Opis posla: upravlja strojem (tračnom pilom) za piljenje trupaca, pili trupce prema pravilima struke.  
 
Uvjeti: završena srednja škola. U obzir dolaze kandidati/kandidatkinje koji su motivirani i voljni učiti navedeni posao. 
 
Poslodavac nudi početnu plaću od 1.350 € (neto).","(None, None)"
HR101,CNC OPERATER/CNC OPERATERKA,2025-12-11,LN METALI d.o.o.,Croatia,HR,Zagreb,Other / Undefined,"Tražimo motiviranu i odgovornu osobu za rad na CNC strojevima (strojna obrada metala). 
 
Nudimo: stimulativna primanja. mogućnost dodatnog usavršavanja i stalno zaposlenje","(None, None)"
HR102,INŽENJER/KA ZA RAZVOJ I ODRŽAVANJE IP MREŽE - OPTIČKE MREŽE ,2025-12-11,Optika kabel TV d.o.o.,Croatia,HR,Zagreb,Other / Undefined,"Inženjer za razvoj i održavanje IP mreže – optičke mreže (m/ž) Optika kabel TV d.o.o. (OKTV) je tvrtka koja se bavi pružanjem usluga elektroničkih komunikacija (telefonije, Interneta, najma kapaciteta, OTT-a, WiFi mreža) na hrvatskom tržištu. OKTV gradi i ima cjelokupnu mrežu na vlastitoj optičkoj infrastrukturi do krajnjeg korisnika te nudi pristupne brzine od 1 Gbps i veće. Ako si timski igrač, odgovoran i usmjeren ka cilju te ako razumiješ da bez inovacija nema ovacija, onda je ovo oglas kao stvoren za tebe. Tvoje radno mjesto je: ·        Razvoj i održavanje IP mreže i mrežne opreme te usluga uključujući centralni dio mreže. ·        Upravljanje konfiguracijom i promjenama mrežnih i informacijskih sustava ·        Organiziranje i vođenje dokumentacije, nadzora i revidiranja sveobuhvatnih konfiguracija ·        Proaktivno praćenje stanja i održavanje mreže i usluga kod korisnika kao i korištenje integriranih telekomunikacijskih rješenja što uključuje otklon mogućih problema, provedbu promjena i održavanje tehničke dokumentacije, kao i stvaranje i održavanje sigurnosnih kopija mrežnih elemenata ·        Tehničku implementaciju integriranih telekomunikacijskih rješenja za poslovne korisnike što uključuje fiksnu telefoniju kao i usluge vezane uz prijenos podataka i Internet u suradnji s odjelom prodaje (planiranje, realizacija i praćenje) uključujući procese uključenja, isključenja i promjena ·        uspostava redovitih kontakata i održavanje kvalitetnih odnosa sa odgovarajućim tehničkim osobama kod ključnih kupaca kao i tehnička potpora prodajnom odjelu u organizaciji i prezentacija za korisnike ·        koordinacija rada  sa ostalim organizacijskim dijelovima tvrtke, zadavanje radnih naloga te nadzor i kontrola njihovog izvršenja ·        Priprema izvještaja za  upravljačke i institucionalne potrebe ·        Interna edukacija djelatnika prema potrebi Od kandidata/kandidatkinje očekujemo: ·        VSS/VŠS tehničkog smjera (FER, Fakultet prometnih znanosti, TVZ) ·        3-5 godine radnog iskustva na istim ili sličnim poslovima ·        Tehničko znanje i iskustvo na CCNP nivou ·        Napredno poznavanje mrežnih tehnologija i protokola ·        Napredno poznavanje VoIP protokola, konfiguracija IP telefona i platformi ·        Napredno iskustvo u konfiguriranju, nadzoru i otklanjanju poteškoća u radu mrežnih uređaja jednog od slijedećih proizvođača Cisco, HP, Huawei, Mikrotik, Fortinet, ZTE (GPON) ·        Samostalnost u izvršavanju radnih zadataka ·        Usmjerenost na potrebe korisnika ·        Komunikacijske vještine ·        Izvrsno znanje rada u MS Office aplikacijama ·        Prednost imaju kandidati koji su prošli sigurnosnu provjeru ·        Znanje engleskog jezika u pismu i govoru ·        Vozačku dozvolu B kategorije Nudimo: - rad u ugodnom okruženju i ambicioznom timu - edukaciju i usavršavanje - mogućnost razvoja i primjene kreativnih ideja - financijski paket neto 2.400,00 – 3,000,00 EUR sukladno iskustvu i poslovnim rezultatima - dodatne pogodnosti ovisno o iskustvu i dogovoru - radno vrijeme 08:00 - 16:00 h -Mjesto rada: Zaprešić","(None, None)"
HR103,9. ZDRAVSTVENI RADNIK/RADNICA PRVOSTUPNIK RADIOLOŠKE TEHNOLOGIJE U BOLNICI 1 ZA POTREBE KLINIČKOG ZAVODA ZA DIJAGNOSTIČKU I INTERVENCIJSKU RADIOLOGIJU,2025-12-11,KLINIČKI BOLNIČKI CENTAR SPLIT,Croatia,HR,Zagreb,"Cloud, DevOps & Systems Engineering","„Na temelju Odluke ravnatelja Kliničkog bolničkog centra Split, raspisuje se N A T J E Č A J za prijam u radni odnos (m/ž) RADNI ODNOS NA NEODREĐENO VRIJEME 9. ZDRAVSTVENI RADNIK  PRVOSTUPNIK RADIOLOŠKE TEHNOLOGIJE U BOLNICI 1 za potrebe Kliničkog zavoda za dijagnostičku i intervencijsku radiologiju                                                   - 1 izvršitelj Uvjeti: VŠS viša škola/studij radiologije inženjer radiologije/ prvostupnik radiološke tehnologije odobrenje za samostalni rad Prilikom prijave na natječaj kandidati su dužni priložiti: zamolba životopis preslika diplome o završenoj školi/studiju preslika odobrenja za samostalan rad Za radna mjesta pod rednim brojem 1., 15., 16., 17.  određen je probni rad u trajanju od šest (6) mjeseci, za radna mjesta pod rednim brojem 8., 9., 10., 18. i 19.  određen je probni rad u trajanju od tri (3) mjeseca, za radno mjesto pod rednim brojem 2., 3., 4., 5., 6., 7., 11., 12.,  13., 14., 20., 21., 22., 23. određen je probni rad u trajanju od dva (2) mjeseca, za radna mjesta pod rednim brojem 24., 25. i 26.određen je probni rad u trajanju od jednog (1) mjeseca. Kandidati potrebne dokumente dostavljaju isključivo u neovjerenim preslikama, koje se neće vraćati. Nepravovremene prijave, prijave s nepotpunom dokumentacijom kao i one u kojima u zamolbi nije jasno naznačeno radno mjesto i vrsta radnog odnosa na koje se osoba prijavljuje, izuzet će se iz razmatranja, a natječajnu dokumentaciju nakon objave Odluke o prijemu u radni odnos kandidati mogu podići u roku od 30 dana u Službi za upravljanje ljudskim resursima. Nakon proteka roka nepreuzeta Natječajna dokumentacija biti će uništena. Kandidati su dužni priložiti rješenje o priznavanju inozemne obrazovne kvalifikacije izdane od ovlaštene institucije RH, ako je kvalifikacija, odnosno odgovarajuća razina obrazovanja i struke stečena u inozemstvu. Ukoliko se osoba javlja na Natječaj za više radnih mjesta, dužna je za svako radno mjesto dostaviti potpunu traženu dokumentaciju. KBC Split pridržava pravo dodatnih testiranja odnosno razgovora s kandidatima, a poziv na pisano testiranje odnosno na razgovor objavit će se na Web stranici KBC Split. Kandidati su dužni pratiti objave poziva za pisano testiranje odnosno razgovor na Web stranici KBC Split Natječaj za posao. Prema Zakonu o ravnopravnosti spolova na Natječaj se mogu prijaviti osobe oba spola. Kandidat/kinja koji/a se poziva na pravo prednosti prilikom zapošljavanja u skladu sa člankom 102. i 103. Zakona o hrvatskim braniteljima iz Domovinskog rata i članovima njihovih obitelji, uz prijavu na Natječaj u zamolbi dužan/a je, osim dokaza o ispunjavanju traženih uvjeta, priložiti i sve potrebne dokaze dostupne na poveznici Ministarstva hrvatskih branitelja: https://gov.hr/hr/prednost-pri-zaposljavanju/916 Kandidat/kinja koji/a se poziva na pravo prednosti prilikom zapošljavanja u skladu sa člankom 48.f.  Zakona o zaštiti vojnih i civilnih invalida rata uz prijavu na Natječaj u zamolbi dužan/a je, osim dokaza o ispunjavanju traženih uvjeta, priložiti i sve potrebne dokaze iz članka 48.f. citiranog Zakona dostupne na poveznici Ministarstva hrvatskih branitelja: https://gov.hr/hr/prednost-pri-zaposljavanju/916 Kandidat/kinja koji/a se poziva na pravo prednosti prilikom zapošljavanja u skladu s člankom 9. Zakona o profesionalnoj rehabilitaciji i zapošljavanju osoba s invaliditetom uz prijavu na natječaj dužan/a je, osim dokaza o ispunjavanju traženih uvjeta, priložiti dokaz o utvrđenom statusu osobe s invaliditetom s time da se pod tim dokazom smatraju javne isprave o invaliditetu na temelju kojih se osoba može upisati u očevidnik zaposlenih osoba s invaliditetom, kao i dokaz o načinu prestanku radnog odnosa kod posljednjeg poslodavca. Molbe kompletirane potrebnim dokazima o ispunjavanju uvjeta iz natječaja  s navedenom dokumentacijom s naznakom „Za Natječaj“, dostavljaju se poštom na adresu Klinički bolnički centar Split, Vjekoslava Spinčića 1, Split ili neposredno u Prijemnu kancelariju na istoj adresi. Osobni podaci kandidata se obrađuju u svrhu provedbe selekcijskog postupka za zapošljavanje u skladu s Općom uredbom o zaštiti podataka (EU) 2016/679 (dalje: Uredba) i važećim zakonima. U slučaju potrebe za ostvarenjem prava iz Uredbe kandidat se može obratiti KBC-u na e-mail: gdpr@kbsplit.hr . Kandidati koji ispunjavaju formalne uvjete natječaja bit će pozvani na razgovor/testiranje na način da će se navesti ime i minimalno prva tri slova prezimena kandidata. Poziv će se objaviti na mrežnim stranicama KBC-a Split. KBC Split pridržava pravo poništenja Natječaja u cijelosti, kao i dijela Natječaja ne navodeći pritom razloge poništenja. Rok za podnošenje molbe je osam (8) dana od dana objave Natječaja.“","(None, None)"
HR104,OPERATER/OPERATERKA SANITACIJE I ZAŠTITE OKOLIŠA,2025-12-05,PERUTNINA PTUJ - PIPO d.o.o. ČAKOVEC,Croatia,HR,Zagreb,"Cloud, DevOps & Systems Engineering","Mi smo dio Grupe Perutnina Ptuj, međunarodne kompanije sa skoro 120 godina dugom tradicijom. Osnovna djelatnost nam je proizvodnja prirodnih, zdravih i ukusnih proizvoda, uz najviše standarde kvalitete, sljedivosti, sigurnosti i zaštite okoliša. U Hrvatskoj zapošljavamo više od 800 ljudi. Pridružite se našem timu na poziciji ""Operater sanitacije i zaštite okoliša"" OPIS POSLA: organiziranje i nadzor rada radnika sanitacije poznavanje pravilnog rada sa kemijskim sredstvima, opremom i uređajima za pranje i dezinfekciju pogona odgovornost i samostalnost u radu nadzor i provođenje mjera zaštite na radu vođenje prateće dokumentacije i redovito ispunjavanje evidencijskih lista odgovorno naručivanje i zaprimanje naručene robe i usluga od vanjskih dobavljača i pružatelja usluga suradnja sa drugim odjelima unutar kolektiva po pitanju čistoće pogona OČEKUJEMO: VKV/SSS 2 godine iskustva u prehrambenoj industriji ili na sličnim poslovima poznavanje rada na računalu (MS Office) odgovornost prema radnim zadacima savjesno obavljanje posla NUDIMO: mjesto rada Čakovec ugovor na neodređeno vrijeme, uz probni rad rad u stabilnoj kompaniji s dugom tradicijom osiguranu radnu odjeću i obuću plaćene putne troškove osiguran topli obrok Prijaviti se možete putem linka ""Prijava"" Veselimo se Vašoj prijavi!","(None, None)"
HR105,RADNO MJESTO III. VRSTE TEHNIČKI/A SURADNIK/CA – LABORANT/ICA,2025-12-03,"SVEUČILIŠTE U ZAGREBU, PRIRODOSLOVNO - MATEMATIČKI FAKULTET",Croatia,HR,Zagreb,Other / Undefined,"SVEUČILIŠTE U ZAGREBU 
PRIRODOSLOVNO-MATEMATIČKI FAKULTET 
Zagreb, Horvatovac 102a 
r a s p i s u j e 
N A T J E Č A J 
 
za zasnivanje radnog odnosa na radnom mjestu III. vrste Tehnički suradnik – laborant, na određeno vrijeme do povratka odsutne djelatnice na rad, u punom radnom vremenu, u Zavodu za opću i anorgansku kemiju pri PMF-u, Kemijskom odsjeku - 1 izvršitelj. 
Ponude s dokazima o ispunjavanju uvjeta iz natječaja dostavljaju se isključivo putem mrežne poveznice: https://posao.pmf.hr/opening-login?openingUUID=245ab025-9d49-4264-94a8-28fef9e02a00 UVJETI ZA ZASNIVANJE RADNOG ODNOSA: 
 Osim općih uvjeta za zasnivanje radnog odnosa utvrđenih zakonom, kandidati moraju ispunjavati i sljedeće uvjete: 
• SSS (četverogodišnja) 
Na natječaj se, pod jednakim uvjetima, imaju pravo javiti osobe oba spola. Pojmovi koji se koriste u ovom natječaju, a koji imaju rodni značaj, bez obzira jesu li korišteni u muškom ili ženskom rodu, obuhvaćaju na jednak način i muški i ženski rod. 
Kandidat koji ostvaruje prednost pri zapošljavanju, temeljem posebnih propisa, dužan je u prijavi na natječaj pozvati se na to pravo, te uz prijavu na natječaj priložiti sve dokaze koje posebni propisi određuju za ostvarivanje prava na prednost pri zapošljavanju, te dokaze o ispunjavanju svih uvjeta odnosno nepostojanju zapreka koje posebni propis određuje za ostvarivanje prava prednosti. Takvi kandidati ostvaruju prednost pri zapošljavanju po predmetnom natječaju u odnosu na ostale kandidate, pod istim uvjetima utvrđenim natječajem, na temelju uredne, potpune i pravovremene prijave na natječaj, pod uvjetom da zadovoljavaju sve uvjete natječaja te da su ostvarili najbolji rezultat u selekcijskom postupku. 
Kandidati su obavezni uz prijavu na natječaj dostaviti: 
• životopis, 
• dokaz o državljanstvu, 
• dokaz o stečenoj stručnoj spremi, 
Urednom i potpunom prijavom smatra se prijava koja sadrži sve podatke i sve priloge tražene u natječaju. Nepotpune, neuredne, te nepravovremene prijave neće se razmatrati, niti će podnositelji takvih prijava naknadno biti pozvani na dopunu iste. 
Kandidati koji su se prijavili na natječaj, a koji u potpunosti ispunjavaju sve formalne uvjete natječaja mogu biti pozvani u selekcijski postupak razgovora (intervjua). 
O selekcijskom postupku razgovora na koji budu pozivani, kandidati će biti obaviješteni o vremenu i mjestu istog posebnim pozivom putem e-maila. 
Za kandidata koji se ne odazove selekcijskom postupku razgovora na koji je pozvan prema posebnom pozivu, smatrat će se da je odustao od natječajnog postupka. 
Sveučilište u Zagrebu Prirodoslovno-matematički fakultet prikuplja i obrađuje osobne podatke kandidata na natječaj za zasnivanje radnog odnosa u svrhu provjere kvalificiranosti i zadovoljavanja uvjeta natječaja, sukladno Odluci o prikupljanju, zaštiti i obradi osobnih podataka (KLASA: 035-01/18-01/5;URBROJ:251-58-10201-18-2). 
Rok za podnošenje prijava na natječaj je 15 dana po objavljivanju natječaja u ""Narodnim novinama"". 
Rezultati natječajnog postupka objavit će se na službenoj internetskoj stranici PMF-a: www.pmf.unizg.hr (Natječaji).","(None, None)"
HR106,ISPITIVAČ / ISPITIVAČICA METALNIH KOMPONENTI ,2025-11-19,TECHNIC d.o.o.,Croatia,HR,Zagreb,Other / Undefined,"TECHNIC je tvrtka specijalizirana za projektiranje, montažu industrijskih strojeva i postrojenja, proizvodnju i sklapanje sklopnih elemenata te fabrikaciju cjevovoda. Okupljamo tim iskusnih stručnjaka i inženjera koji prate svjetske tehnološke trendove i dostignuća. Zapošljava niz visoko educiranih stručnjaka te visokokvalificiranih djelatnika angažiranih na brojnim energetskim projektima diljem Europe. UVJETI: Sposobnost rada s mjernim i ispitnim uređajima Pouzdanost, preciznost i odgovoran pristup poslu Poželjno iskustvo u kontroli kvalitete ili sličnim poslovima (nije uvjet) Opis poslova: Korištenje uređaja za ispitivanje metalnih komponenti Kontrola čistoće metalnih komponenti Kontrola dijelova metalnih komponenti Kontrola zavara na metalnim komponentama Kontrola predmontaže metalnih komponenti Kontrola metalnih komponenti nakon plastificiranja Mjerenje dimenzija metalnih komponenti i dijelova prema tehničkoj dokumentaciji Evidentiranje rezultata ispitivanja i popunjavanje kontrolnih obrazaca Prepoznavanje odstupanja i prijava nepravilnosti voditelju proizvodnje ili kontrole kvalitete Suradnja s montažerima i proizvodnim timom u rješavanju uočenih problema Izvođenje osnovnih vizualnih i funkcionalnih testova proizvoda Korištenje osnovnih mjernih alata (šubler, metar, mikrometar, mjerne šablone itd.) Priprema metalnih komponenti za ispitivanje (čišćenje, pozicioniranje, označavanje) Kontrola zaštitnih premaza i završne obrade proizvoda Osiguravanje usklađenosti proizvoda sa sigurnosnim i kvalitetnim standardima Praćenje i poštivanje procedura kontrole kvalitete Održavanje čistoće i urednosti radnog mjesta Povremeno sudjelovanje u internim testiranjima novih postupaka kontrole Nudimo: Stabilan posao u rastućoj kompaniji Rad u ugodnom i uhodanom timu Mogućnost dodatnog usavršavanja","(None, None)"
